공사종류,지침유형,지침내용
굴착공사,예방조치,굴착공사 진행 중 사전 조사된 결과와 상이한 상태가 발생한 경우 굴착면의 안전기울기 보완을 위한 정밀조사를 실시하여야 하며 그 결과에 따라 안전기울기를 변경해야 할 필요가 있을 때에는 안전기울기 기준이 결정될 때까지 해당 위험작업을 중지하여야 한다.
굴착공사,예방조치,굴착작업 시 지반의 지질 상태에 따라 굴착면의 기울기를 안전하게 유지하여 무너짐 위험에 대비하여야 한다.
굴착공사,예방조치,지반의 종류에 따라 굴착면의 안전기울기를 준수하여야 하며 필요시 충분한 보강을 실시해야 한다.
굴착공사,위험경고,자연지반은 매우 복잡하고 불균질하며 굴착비탈면은 굴착후 시간이 경과함에 따라 점차 불안정해지며 강우 등의 주변 환경 변화에 따라 비탈면 안정성이 저하되므로 이들을 고려한 안정성 검토 및 보호ㆍ보강대책이 이루어져야 한다.
굴착공사,예방조치,리핑암의 경우 비탈면 높이가 10 m 이상일 경우에는 매 5.0 m 마다 폭 1 m의 소단을 설치하도록 한다.
굴착공사,예방조치,비탈면 높이에 관계없이 흙과 암과의 경계나 투수층과 불투수층과의 경계에는 필요에 따라 소단을 설치하고 용수발생 시 소단에 유도 배수로를 설치하여야 한다.
굴착공사,위험경고,풍화가 빠른 암반 균열이 많은 암반 바둑판 모양의 균열이 있는 암반 등 붕괴위험이 있는 암반 굴착비탈면의 경우에는 반드시 이를 고려하여 안전성을 검토하여 안전기울기를 결정해야 한다.
굴착공사,점검사항,암반 굴착의 경우 지표지질조사 및 시추조사에 의하여 파악된 절리의 방향성과 발달 상태에 따라 안정해석을 실시하여 안전기울기를 결정하여야 한다.
굴착공사,점검사항,굴착비탈면 상부의 지표면 변화 비탈면의 지층 변화부 상황 부석의 상황 변화 결빙과 해빙에 대한 상황 각종 비탈면 보호공의 변위 및 탈락 유무를 작업 전 작업 중 작업 이후 우기 이후에 개별적으로 실시하여 점검하여야 한다.
굴착공사,위험경고,굴착작업 시 주변지반이 침하하는 것에 주의하고 관계자의 입회하에 굴착비탈면의 안전에 필요한 조치를 취하여야 한다.
공통,위험경고,돌관작업으로 안전보건 조치가 불량하여 중대한 사고 발생 위험이 있는 경우 공사를 중단하도록 하고 해당 위험에 대한 안전보건조치가 완료된 후 공사를 재개하여야 한다.
공통,예방조치,근로자 동원 계획 수립 시 근로기준법에서 정한 근로시간을 초과하지 않도록 한다.
공통,예방조치,교대근무 편성 등으로 충분한 휴식시간을 확보한다.
공통,예방조치,근로시간이 4시간 이상인 경우에는 30분 이상 8시간인 경우에는 1시간 이상의 휴게시간을 근로시간 도중에 주어야 한다.
공통,점검사항,위험성평가에는 동일 장소에 다수의 건설장비 운용시 충돌 협착 위험 인화성물질 가연성가스 사용과 용접 용단 등 화기사용 작업시 화재․폭발 위험 구조물 또는 흙막이공사시 붕괴 위험 상 하 동시작업에 따른 낙하 위험 등에 대한 평가가 포함되어야 한다.
공통,예방조치,근로자 식별이 용이하도록 야광 반사조끼 지급 및 착용 계획을 수립한다.
공통,예방조치,장비 전락 방지를 위한 가설설도로 조명 및 점멸등 설치 계획을 수립한다.
공통,예방조치,작업장까지 안전하게 이동하기 위한 안전통로 설치계획을 수립한다.
공통,위험경고,동시 작업으로 발생할 수 있는 위험요인을 최소화 하도록 관리한다.
공통,예방조치,현장 임의출입을 방지하기 위한 조치를 한다.
공통,예방조치,발주자․설계자․건설사업관리자는 공사 목적물의 건설공사에서 발생하는 유해 위험요인이 제거 또는 최소화할 수 있는 공사방법이 적용될 수 있도록 설계에 반영한다.
건축,예방조치,석면 및 석면이 함유된 자재사용이 설계에 반영되지 않도록 유의한다.
건축,예방조치,사용 중 파손 절단 등 손상 발생으로 인한 재해예방을 위하여 자재 선정에 유의한다.
가설구조물,위험경고,이동식 작업대차는 풍하중 등의 수평하중에 대한 안전성을 확보하여야 하며 10m/sec이상의 강풍시에는 이동식 작업대차의 이동 등의 작업을 행하여서는 안된다.
양중작업,예방조치,인력으로 운반이나 취급이 어려운 무거운 자재는 가능한 기계화 작업방법으로 시공할 수 있도록 설계에 반영한다.
건축,예방조치,시설물의 유지관리가 용이하도록 개․보수 및 청소를 위한 전용통로 설비의 설치 및 제거가 용이한 반입구 등을 설계에 반영한다.
굴착공사,위험경고,장마철 해빙기에 굴착공사를 수행할 경우에 대비하여 빗물유입 지반연약화 등 붕괴위험 요인을 고려하여 안전성검토를 실시한다.
건축,예방조치,해체 및 개․보수 공사 시에는 기존 구조물의 균열 붕괴사고 예방을 고려한 시공법을 검토하여 설계에 반영한다.
가설구조물,예방조치,철근콘크리트 구조를 시공하기 위하여 거푸집동바리를 설계하는 경우 구조검토를 통하여 안전성을 확보하여야 하며 동바리 설치높이가 4m를 초과하는 경우 가능한 지주형식 동바리(시스템동바리) 등으로 설계에 반영한다.
가설구조물,점검사항,설계에 반영된 가설구조가 시공 중 일부 또는 전부의 변경이 발생할 경우 변경구조의 안정성 검토 관련사항을 설계에 명기한다.
교량,위험경고,공법의 특성상 중량 장소에서 14㎏크로톡 반복하여 제장 사용하므로 작작장의 취치오차는 주형이 제작될수록 누적되어 전체 교량의 선형에 영향을 미치므로 슬라이딩 레일(Slidin)을 설계하여야 한다.
교량,위험경고,임을 시 슬라이딩 패드에 코트한 활일락 압력텍이 작용하여 스트랜드(Strand)의 클럭세이션(Relaxation)이 발생하지 않도록 수시로 확인 점검하여야 한다.
교량,위험경고,콘크리트 타설 후 굳기전 압축력의 손실과 장력의 가동이 손실되지 않도록 하여야 한다.
교량,위험경고,타워크레인은 설치 사용 전에 관계가관으로부터 안전인증을 받아야 하고 작업시 인양하중에 적정한 것이아프트를 사용하고 작업안전대 르로자의 접근을 금지시켜야 한다.
교량,위험경고,거더 압출 시 콘각락 접적 등을 방지하기 위한 마고럼판(Sliding Pad) 삼입방법 등을 사전에 철저히 고료시켜야 한다.
교량,위험경고,압출이 원활히 되어는 쥬이 브로커바를 하여 손드하감 습기 등에 의한 고착현상이 발생하지 않도록 주의하여야 한다.
교량,예방조치,제작장은 명답성을 위하여야 하며 부족한하가 발생하지 않도록 충분한 기초지반의 지지력이 확보되어야 한다.
교량,예방조치,철토사면은 필요시 부석의 낙하나이 고려하여(Sliding) 방지를 하하여 사막 보호 조치를 하여야 한다.
교량,예방조치,제작장 내의 근로자 이동통로에는 가설통로를 설치하고 망추므로에는 안전난간을 설치하는 등 떨어짐 위험 장소에는 추락방지조치를 하여야 한다.
교량,예방조치,추진보의 연도방지를 위한 지주 설치 등 안도방지 조치를 실시하여야 한다.
교량,예방조치,함개트리거의 감인이나 점검은 설치한 설치 및 노임자단가가 설저된 본인면의 전원을 사용하고 작업전선도 피복상상 유무를 확인하며 사용중에는 분체에서 깨곪하게 청소하여야 한다.
교량,예방조치,콘크리트 타설시 지발 다짐 및 형편도가 유지된 곳에 편프카를 설치하며 방음되도 설치하여야 한다.
교량,예방조치,가설팬련 검옹방편 명구난철의 고정작업과 입출 시 미끄럽면의 교체 등을 위하여 교대 교각 및 가교각 등에 수직통로 및 작업발판 안전난간을 설치하여야 한다.
교량,점검사항,축력 LP의 수치 오차는 지상에 설치된 특에서 추을 4개 정도 놀아으라 매 2∼3 m 마다 오차 측검을 실시하고 필요시 보정하여야 한다.
교량,점검사항,추진보의 분체 주상 분에한는는 충분한 안전력을 발휘할 수 있는 체결방식이어야 한다.
교량,점검사항,보일러 가동 전 안전벨브 업력계한 스위치 압축계 자돔경보장치 등의 정상 작동여부를 확인하여야 한다.
교량,점검사항,게단 발판의 측면이 개방되어 있는 경우에는 폭 20cm 이상의 측면 보강재(w)를 설치하여야 한다.
교량,점검사항,압출시 작의 감출종하이 중분한지를 확인하고 압출력 및 압올상태 등 압출장비에 대한 이상유무도 점겅하여야 한다.
교량,점검사항,근로자의 건강상태를 수시점검하여 휴양하여 작업하며 작업임무를 숙지하여야 한다.
교량,위험경고,"공법의 특성상 동일 장소에서 1세그먼트씩 반복하여 제작 시공하므로 제작장의 위치오차는 주형이 제작될수록 누적되어 전체 교량의 선형에 영향을 미치므로 슬라이딩 레일(Sliding rail) 설치 시 오차가 발생되지 않도록 주의하여야 한다.",KOSHA GUIDE C-10-2016
교량,위험경고,"압출 시 슬라이딩 패드에 과도한 횡압력, 마찰력이 작용하여 스트랜드(Strand)의 릴렉세이션(Relaxation)이 발생하지 않도록 수시로 확인 점검하여야 한다.",KOSHA GUIDE C-10-2016
교량,위험경고,"콘크리트 타설 후 급격한 온도변화 방지를 위해 보일러 가동이 중단되지 않도록 해야 한다.",KOSHA GUIDE C-10-2016
교량,위험경고,"타워크레인은 설치 사용 전에 관계기관으로부터 안전인증을 받아야 하고, 작업 시 인양하중에 적절한 와이어로프를 사용하고, 작업반경내 근로자의 접근을 금지시켜야 한다.",KOSHA GUIDE C-83-2013
교량,위험경고,"거더 압출 시 손가락 협착 등을 방지하기 위한 미끄럼판(Sliding Pad) 삽입방법 등을 사전에 철저히 교육시켜야 한다.",KOSHA GUIDE C-83-2013
교량,위험경고,"압출이 완료된 후에는 슈에 보호커버를 하여 온도하강, 습기 등에 의한 고착현상이 발생하지 않도록 주의하여야 한다.",KOSHA GUIDE C-83-2013
교량,예방조치,"제작장은 평탄성을 유지하여야 하며 부등침하가 발생하지 않도록 충분한 기초지반의 지지력이 확보되어야 한다.",KOSHA GUIDE C-10-2016
교량,예방조치,"절토사면은 필요시 부석의 낙하나 미끄러짐(Sliding) 방지를 위하여 사면 보호 조치를 하여야 한다.",KOSHA GUIDE C-10-2016
교량,예방조치,"제작장 내의 근로자 이동통로에는 가설통로를 설치하고 양측단부에는 안전난간을 설치하는 등 떨어짐 위험 장소에는 추락방지조치를 하여야 한다.",KOSHA GUIDE C-10-2016
교량,예방조치,"추진코의 전도방지를 위한 지주 설치 등 전도방지 조치를 실시하여야 한다.",KOSHA GUIDE C-10-2016
교량,예방조치,"진동다짐기의 감전방지를 위하여 접지 및 누전차단기가 설치된 분전반의 전원을 사용하고, 작업전선도 피복손상 유무를 확인하며, 사용후에는 분해해서 깨끗하게 청소하여야 한다.",KOSHA GUIDE C-83-2013
교량,예방조치,"콘크리트 타설시 지반 다짐 및 평편도가 유지된 곳에 펌프카를 설치하며, 받침목도 설치하여야 한다.",KOSHA GUIDE C-83-2013
교량,예방조치,"가설받침, 겸용받침, 영구받침의 고정작업과 압출 시 미끄럼판의 교체 등을 위하여 교대, 교각 및 가교각 등에 수직통로 및 작업발판, 안전난간을 설치하여야 한다.",KOSHA GUIDE C-83-2013
교량,점검사항,"측벽 L.P의 수직 오차는 지상에 설치한 틀에서 추를 4개 정도 늘어뜨려 매 2～3 m 마다 오차 측정을 실시하고 필요시 보정하여야 한다.",KOSHA GUIDE C-10-2016
교량,점검사항,"추진코와 본체 구조물 연결부는 충분한 전단력을 발휘할 수 있는 체결방식이어야 한다.",KOSHA GUIDE C-10-2016
교량,점검사항,"보일러 가동 전 안전밸브, 압력제한 스위치, 압력계, 자동경보장치 등의 정상 작동여부를 확인하여야 한다.",KOSHA GUIDE C-10-2016
교량,점검사항,"계단 발판의 측면이 개방되어 있는 경우에는 폭 20cm 이상의 측면 보강재(w)를 설치하여야 한다.",KOSHA GUIDE C-83-2013
교량,점검사항,"압출시 잭의 압출용량이 충분한지를 확인하고, 압출력 및 압출상태 등 압출장비에 대한 이상유무도 점검하여야 한다.",KOSHA GUIDE C-83-2013
교량,점검사항,"근로자의 건강상태를 작업전에 확인하여 작업배치 적정여부를 결정하여야 한다.",KOSHA GUIDE C-83-2013
가설구조물,위험경고,"계단을 설치하는 때에는 각각의 발판으로부터 높이 2m이내의 머리 공간에 장애물이 없도록 하여야 한다.",KOSHA GUIDE C-11-2012
가설구조물,위험경고,"높이 1m이상인 계단의 개방된 측면에는 안전난간을 설치하여야 한다.",KOSHA GUIDE C-11-2012
가설구조물,위험경고,"난간기둥 사이의 간격은 2m이내 이어야 하며, 만약 이 간격 이상이 되면 난간기둥을 보강하거나 고정 장치를 설치하여 임의의 방향으로 움직이는 100kg 이상의 하중에 견딜 수 있도록 하여야 한다.",KOSHA GUIDE C-11-2012
가설구조물,위험경고,"설계서와 현장조건이 불일치하거나 설계서 상호간에 불일치되는 사항이 있거나 위험요인을 제거 또는 경감하기 위해 필요한 금액이 계약조건 이외의 사항인 경우에는 즉시 도급인에게 상황을 보고하고 도급인의 판단을 구하여야 한다.",KOSHA GUIDE C-96-2014
가설구조물,위험경고,"수급인은 도급인과 공사계약을 한 때에는 즉시 전체공정에 대하여 설계서와 현장조건의 부합여부를 확인하여야 한다.",KOSHA GUIDE C-96-2014
가설구조물,위험경고,"갱폼 작업자는 갱폼 및 작업발판에 충격을 가하지 않도록 주의하여야 한다. 발판 위에서 뛰거나 빨리 걸어서는 안되며, 슬라브 또는 승강 사다리에서 발판으로 뛰어 내려서도 안된다.",KOSHA GUIDE C-40-2011
가설구조물,위험경고,"갱폼 해체작업중인 갱폼에는 '해체중'임을 표시하는 표지판을 게시하고 하부에 출입금지 구역을 설정하여 작업자의 접근을 금지토록 감시자를 배치한다.",KOSHA GUIDE C-40-2011
가설구조물,예방조치,"발판을 구멍이 있는 재료로 만들 때에는 렌치, 기타 공구 등이 낙하할 위험이 없는 구조로 하여야 한다.",KOSHA GUIDE C-11-2012
가설구조물,예방조치,"계단과 인접 구조물과의 사이가 3cm이상일 때에는 발끝막이판을 설치하여야 한다.",KOSHA GUIDE C-11-2012
가설구조물,예방조치,"수급인은 도급인으로부터 제공받은 설계서(구조계산서 포함) 등을 충분히 검토하여 상호 불일치되는 사항 유무를 확인하여야 한다.",KOSHA GUIDE C-96-2014
가설구조물,예방조치,"수급인은 각 공종별 그의 하수급인에게 도급을 준 경우에도 하수급인으로 하여금 해당공사에 대하여 설계서의 검토 및 현장조건과의 부합여부를 확인하도록 하여야 한다.",KOSHA GUIDE C-96-2014
가설구조물,예방조치,"갱폼은 외부벽체 콘크리트 거푸집으로서의 기능과 외부벽체에서의 위험작업들을 안전하게 수행할 수 있는 작업발판으로서의 기능을 동시에 만족할 수 있도록 그 구조적 설비상의 안전성을 확보하여야 한다.",KOSHA GUIDE C-40-2011
가설구조물,예방조치,"갱폼은 공장에서 제작되어 일단 현장에 투입되면 사용과정에서 변형·수정하기가 어려우므로 제작 계획시 사용과정에서 발생될 수 있는 문제점을 면밀히 검토 반영하여야 한다.",KOSHA GUIDE C-40-2011
가설구조물,예방조치,"갱폼 인양고리는 갱폼의 전하중을 안전하게 인양할 수 있는 안전율 5이상의 부재를 사용하여 인양시 갱폼에 변형을 주지 않는 구조로 하여야 한다.",KOSHA GUIDE C-40-2011
가설구조물,예방조치,"갱폼에서 작업발판이 설치되는 지점(위치)의 상부 케이지 외측과 하부 케이지 내 외측에는 발판 바닥면으로부터 각각 45 cm ∼ 60 cm 높이에 중간난간대, 90 cm ∼ 120 cm 높이에 상부난간대를 바닥면과 평행으로 설치하여야 한다.",KOSHA GUIDE C-40-2011
가설구조물,예방조치,"갱폼 거푸집과 거푸집을 연결·조립하는 결속 브라켓(Joint bracket) 부분의 케이지 수직재 및 발판재간의 간격은 갱폼 인양시 케이지간의 충돌을 방지하는 데 필요한 최소한의 간격 20㎝를 초과하지 않도록 제작·설치하여 근로자의 브라켓 결속작업 또는 작업발판 이동시 추락을 방호하여야 한다.",KOSHA GUIDE C-40-2011
가설구조물,예방조치,"상부 케이지 외측 수직재(각파이프)는 거푸집 상단 높이보다 1.2 m 이상 높게 설치하고 그 상단과 중앙에 안전난간대를 2줄로 설치하여 슬라브 상부, 단부 작업자의 갱폼 외부로의 추락 및 낙하물을 방호한다.",KOSHA GUIDE C-40-2011
