지침내용,공사종류,지침유형
"해체작업 시 해체방법 및 해체순서 도면, 가설설비, 방호설비, 환기설비, 살수설비 및 방화설비 등의 설치방법, 사업장내 연락방법, 해체물의 처리계획, 해체작업용 기계·기구 등의 작업계획,  기타 안전·보건에 관련된 사항이 포함된 작업계획서를 작성하여야 한다.",건축,예방 조치
"소음, 진동, 분진에 의한 재해가 발생하지 않도록 해체작업현장 주변에 방음막, 방진막, 살수설비 등을 설치하여야 한다.",건축,예방 조치
"해체작업현장과 사무실 간의 연락, 해체작업중의 신호 등을 위하여 연락설비를 설치하고 신호수를 배치한 후 위험구역 내에 공사관계자 및 외부인의 출입을 금지하여야 한다.",건축,위험 경고
"리모델링 대상구조물에서 부분적으로 슬래브, 보, 기둥, 벽체 등의 부재를 해체할 때에는 구조기술사의 구조검토를 실시하고 부재신설공법 등 보강공법을 적용하여 구조물의 붕괴재해를 예방하여야 한다.",건축,예방 조치
"해체된 잔재물은 비계, 작업발판 등에 적재하중을 초과하여 적재하는 것을 금지하고 리프트, 승강기 등 양중기를 사용하여 지상으로 반출하여야 한다.",건축,예방 조치
"구조물의 해체작업에 의한 개구부 발생시 덮개, 안전난간, 안전방망 등 안전시설을 설치하고 안전모, 안전화, 안전대 등 보호구를 착용하여야 한다.",건축,예방 조치
"사전조사 사항을 근거로 하여 공사기간, 시공성, 안전성, 경제성, 공해 등에 대한 법적 규제 및 주변현황 등을 충분히 검토한 후 적절한 해체공법을 선정하여야 한다.",건축,예방 조치
강구공법에 의한 해체작업 시 강구가 크레인으로부터 이탈하지 않도록 접속부위 및 와이어로프의 상태를 수시로 점검하여야 한다.,건축,점검 사항
"브레이커 공법에 의한 해체작업 시 파편이 비산하지 않도록 주의하고 소음, 진동에 의한 소음성 난청, 진동장해 등의 재해를 예방하기 위하여 귀마개, 방진장갑 등 보호구를 착용하여야 한다.",건축,예방 조치
"해체작업에 사용되는 강구, 브레이커 등의 기계?기구를 양중 할 때에는 낙하?비래의 위험이 없도록 예방조치를 하여야 한다.",건축,예방 조치
절단톱 공법에 의한 해체작업 시 톱날 주위에는 접촉방지 커버를 설치하고 급?배수설비의 배선상태를 점검하여 감전재해를 예방하여야 한다.,건축,예방 조치
"전도공법에 의한 해체작업 시 벽체, 기둥 등 해체부재의 전도위치와 파편의 비산 거리 등을 검토하여 위험구역을 설정하고 강관비계, 철골 등으로 가설 방호벽을 설치하여야 한다.",건축,점검 사항
"압쇄공법에 의한 해체작업 시 파워쇼벨에 적합한 중량의 압쇄기를 부착하고 핀, 볼트 등 연결구조부의 접속 상태를 수시로 점검하여야 한다.",건축,점검 사항
"워터제트공법 및 레이저공법에 의한 해체작업 시 분출되는 분사수, 레이저 광선 등에 접촉되지 않도록 보호커버를 설치하여야 한다.",건축,예방 조치
"석면이 함유된 건축물이나 설비를 해체할 때에는 근로자의 건강장해를 예방하기 위하여 작업절차, 작업방법, 근로자 보호조치 등이 포함된 석면해체 작업계획서를 작성하여야 한다.",건축,예방 조치
"작업장소를 밀폐시킨 후 습식작업, 음압 상태 유지 등 석면분진이 흩날리지 않도록 조치 후 작업하여야 한다.",건축,예방 조치
"석면해체 작업장은 노출기준인 0.1 개/㎤ 이하로 관리하고 근로자는 방진마스크, 보호의 등의 보호구를 착용하여야 한다.",건축,예방 조치
석면이 함유된 폐기물은 불침투성 용기 또는 자루에 넣어 밀봉한 후 처리하여야 한다.,건축,예방 조치
"비계조립 등의 방법에 의하여 작업발판, 안전난간, 승강설비 등 안전시설을 설치하고 안전모, 안전화, 안전대 등 보호구를 착용하여야 한다.",건축,예방 조치
"철근, 철골, 목재 등의 자재는 낙하?비래를 예방하기 위하여 2 점 이상 지지하여 양중 시 이탈되어 낙하되지 않도록하고, 단척 자재·부재인 경우 전용 운반구를 사용하여 양중하여야 한다.",건축,예방 조치
또한 신호수를 배치하여 위험구역 내에 근로자의 출입을 금지시켜야 한다.,건축,위험 경고
"충전?충진공법, 단면복구공법 등의 보수작업 시 그라인더, 절단기 등 전동 기계?기구의 회전체 주위에는 보호커버를 설치하고 보안경, 방진마스크 등 보호구를 착용하여야 한다.",건축,예방 조치
"부재신설공법에 의한 보강작업 시 기존 구조물과의 일체화를 위하여 앵커용 볼트, 철근을 견고히 설치하고 모르타르, 에폭시 등에 의한 그라우팅을 밀실하게 하여야 한다.",건축,예방 조치
단면증대공법에 의한 보강작업 시 거푸집동바리에 대한 구조검토를 실시하고 기존 구조물과의 부착력을 높이기 위하여 다웰 바 및 보강철근을 설치하여야 한다.,건축,예방 조치
"탄소섬유시트, 강판 부착공법 등의 보강작업 시 구조물의 습기 제거, 평활도 유지, 코너부위 곡면처리, 에폭시 그라우팅 등의 방법으로 기존 구조물과의 부착력을 증가시키고 비파괴검사에 의하여 기존 구조물의 손상여부를 조사하여야 한다.",건축,예방 조치
"프리스트레스공법에 의한 보강작업 시 사용강선의 규격, 보강대상 부재의 종류, 크리프 계수, 응력이완 등에 대하여 구조기술사의 구조검토를 실시하고 적정한 초기장력을 결정함으로써 과도한 응력에 의한 구조물의 변형, 균열 등이 발생되지 않도록 작업하여야 한다.",건축,예방 조치
"언더피닝(기초 및 내진보강 등) 작업 시 인접구조물, 지반, 지하수, 지하매설물 등을 조사하고, 관련 기계를 설치할 경우 지반은 평탄하고 견고하게 설치하여야 한다. ",건축,예방 조치
"또한 소음, 분진, 진동 등 건설공해를 최소화 하기 위하여 방음막, 방진막, 살수설비등을 설치하여야 한다.",건축,예방 조치
"시멘트, 벽돌, 석고보드 등의 자재는 가급적 지게차로 안전하게 운반하고 적재물의 상부에 올라가서 포장재를 제거하는 등의 불안전 행동을 금지하여야 한다.",건축,위험 경고
"프라이머, 본드, 신나 등 인화성 물질을 사용할 경우에는 용접불꽃, 토치 등의 점화원 관리를 철저히 하여야 한다.",건축,예방 조치
목재가공용 둥근톱은 날접촉 예방장치를 설치한 후 사용하고 면장갑을 착용한 채로 작업하는 것을 금지하여야 한다.,건축,위험 경고
"천정, 벽체의 마감작업에 타정총, 타카 등을 사용할 때에는 작업의 편리성을 위하여 안전장치를 해지하는 것을 금지하고 보안경, 귀마개 등의 보호구를 착용하여야 한다.",건축,예방 조치
"타일 절단작업에 그라인더, 핸드커터기 등 다른 용도의 전동기계?기구의 사용을 금지하고 타일 전용의 절단기를 사용하여야 한다.",건축,예방 조치
"실내에서 뿜칠에 의한 도장작업 시 적정한 공기상태 유지를 위한 환기설비를 설치하고 보안경, 방진마스크 등의 보호구를 착용하여야 한다.",건축,예방 조치
"작업장소를 이동하기 위하여 이동식사다리를 사용할 때에는 심한 손상, 부식이 없고 발판 폭이 30 cm 이상인 것을 사용하여야 한다. 또한 다리부위에 미끄럼 방지장치를 설치하여 미끄러지거나 넘어지는 것을 방지하여야 한다.",건축,예방 조치
도배작업 등에 말비계를 사용할 때에는 지주부재와 수평면과의 기울기를 75° 이하로 하고 지주부재의 하단부에 미끄럼방지장치를 설치하여야 한다.,건축,예방 조치
"석재, 유리 등 중량물 양중작업 시 적정한 용량의 윈치를 사용하고 견고한 구조의 앵커를 설치하여야 한다.",건축,예방 조치
"코킹, 외벽 도장작업 등에 사용되는 달비계의 작업용 로프는 옥상의 견고한 앵커, 구조물 등에 풀리지 않도록 설치하고 별도의 구명줄을 설치하여야 한다.",건축,예방 조치
또한 근로자는 안전대를 구명줄에 설치하고 작업하여야 한다.,건축,예방 조치
"기계식 고소작업대(차량탑재형, 시저형 고소작업대 포함)를 사용할 때에는 작업 투입전에 정기검사증 확인 후 아웃트리거를 견고하고 평탄한 지반에 설치하고, 작업반경에 따른 정격하중을 준수하여 고소작업대의 전도에 의한 재해를 예방하여야 한다.",건축,예방 조치
"기타 조적작업, 용접작업, 목재가공작업, 타일작업, 도장작업, 도배작업, 중량물 취급작업, 달비계 사용작업, 고소작업대 사용 작업 등 인테리어와 외장작업과 관련된 안전조치 사항은 한국산업안전보건공단 해당 기술지침의 기준에 따른다.",건축,예방 조치
리모델링 작업 중 주민이 거주할 경우에는 중량물의 낙하?비래에 의한 재해를 예방할 수 있는 안전한 통행로를 확보하고 작업장 주변에 출입금지 구역설정 및 견고한 방호벽을 설치하여야 한다.,건축,예방 조치
"크레인, 리프트, 곤돌라, 승강기 등의 양중기는 안전인증 후 정기적으로 안전검사를 실시하여야 하며 유효하게 작동되도록 조치 후 작업하여야 한다.",건축,점검 사항
