지침내용,지침유형,공사종류,
"이동식 크레인은 정격하중 이상으로 작업할 경우에 전도하거나 크레인부재가 손상될 수 있으므로 설계기준, 장비 매뉴얼과 제원표, 인양능력표를 확인하여야 한다.",점검사항,양중작업,
"과부하방지장치, 권과방지장치 등 방호장치에 대하여 인증기관(검정기관)의 인증 합격 여부를 확인하여야 한다.",점검사항,양중작업,
"작업장소의 지반조사를 실시하여 최대 작용하중에 대응할 수 있는 지지력이 확보되었는지 검토하고, 지지력이 부족할 경우 지반 보강 조치를 하여야 한다.",점검사항,양중작업,
운전원 또는 근로자가 잘 보이는 위치에 정격하중표지를 부착하여야 한다.,점검사항,양중작업,
현장의 지반 상태를 고려하여 제한속도를 지정하고 준수하여야 한다.,점검사항,양중작업,
이동식 크레인은 중량물을 매달아 상하 및 좌우(수평선회를 말한다)로 운반하는 용도이외의 사용을 금하여야 한다.,예방조치,양중작업,
"운전원의 자격, 검사증, 보험가입을 확인하여야 하며, 작업조건에 따라 숙련정도를 확인하여야 한다.",점검사항,양중작업,
신호수를 배치하여 크레인 작업표준 신호지침 및 KOSHA GUIDE C-48-2022(건설기계 안전보건작업 지침)의 신호에 따라 작업하여야 한다.,예방조치,양중작업,
작업구역 내에 출입금지 구역을 지정하여 작업 관계자외 출입을 금지시켜야 한다.,점검사항,양중작업,
"승차석 이외의 위치에 근로자를 탑승시키지 않아야 한다. 다만, 작업장소의 구조,지형 등이 고소작업대를 사용하기가 곤란하여 이동식 크레인 중 기중기를한국산업표준[KSB ISO 12480-1:1997 크레인–안전한 사용-제1부:일반사항의부속서(C.1∼C.4)]에서 정하는 안전기준에 따라 사용한 경우는 제외한다.
이 경우, 관리감독자의 통제에 따라 작업이 이루어져야 한다.",예방조치,양중작업,
"비, 눈, 그 밖의 기상상태의 불안정으로 날씨가 몹시 나쁜 경우에는 산업안전보건기준에 관한 규칙 제37조 철골작업 중지 또는 제383조 악천후 및 강풍시작업 중지를 준용하여 작업을 중지하여야 한다.",예방조치,양중작업,
"이동식 크레인은 작업 조건, 주변의 환경, 공간 확보, 제작사의 사용 기준등을 사전에 검토하여 적합한 장비를 선정하여야 한다.",점검사항,양중작업,
"크레인 반출․입로와 장비 조립 및 설치 장소, 작업장 지지력과 작업장주변의 장애물, 지하매설물 등을 확인하여야 한다.",점검사항,양중작업,
지브와 인양물 및 기존 구조물의 상호 간섭을 고려하여 크레인의 설치 위치를 선정하여야 한다.,점검사항,양중작업,
"이동식 크레인의 진입로를 확보하고, 작업 장소 지반(바닥)의 지지력을 확인하여야 한다.",점검사항,양중작업,
충전전로의 인근에서 작업 시에는 산업안전보건기준에 관한 규칙 제322조의 충전전로 인근에서 차량․기계장치 작업을 준수하여 설치하여야 한다.,점검사항,양중작업,
"아웃트리거 설치 시 지지력을 확인한 견고한 바닥에 설치하여야 하고, 미끄럼 방지나 보강이 필요한 경우 받침이나 매트 등의 위에 설치하여야 한다.",점검사항,양중작업,
절토 및 성토 선단부 등 토사 붕괴에 위험이 있는 장소에는 이동식 크레인의 거치를 금지하여야 한다.,점검사항,양중작업,
이동식 크레인의 제작사에서 제공하는 매뉴얼의 작업방법과 기준을 준수하여 조립 및 해체 작업을 하여야 한다.,점검사항,양중작업,
지브의 상부핀은 조립 시에는 먼저 설치하고 해체 시에는 나중에 제거하는 등 핀의 설치 및 제거 순서를 준수하여야 한다.,점검사항,양중작업,
"지브 등을 수리할 경우에는 제작사의 기준에 적합하여야 하며, 주 부재는 제작사의 승인 없이 용접하지 않아야 한다.",예방조치,양중작업,
"지브 등을 수리 및 용접은 유자격자가 실시해야 하며, 용접 작업 시에는 용접 불티 비산방지 조치 및 소화기 비치 등 화재를 예방하여야 한다.",예방조치,양중작업,
전동기계․기구 사용 작업 시에는 접지가 되어 있는 분전반에서 누전 차단기를 통하여 전원을 인출하여야 한다.,예방조치,양중작업,
"작업 장소에 안전 휀스, 출입금지 표지판을 설치하는 등의 작업 반경 내에 관계자 외의 출입을 통제하는 조치를 하여야 한다.",예방조치,양중작업,
이동식 크레인을 이용한 인양작업 시 하물을 수직으로 상승 및 하강하여이동식 크레인의 사용 기준을 벗어난 수평하중이 작용하지 않도록 하여야 한다.,점검사항,양중작업,
